Source,Target,weight
uYew7v8PyhA,9bamaEMftg4,1
uYew7v8PyhA,p7PVZq-lqCs,1
uYew7v8PyhA,PkLaWIDobGE,1
9bamaEMftg4,RerKFYCVFVY,1
9bamaEMftg4,XsRdICFRHcc,1
9bamaEMftg4,zy7c_FHiEac,3
9bamaEMftg4,yISH-sCvHXU,3
9bamaEMftg4,vOyB2PyRf-k,1
9bamaEMftg4,hKa3EZqofNo,1
9bamaEMftg4,H7inaTiDKaU,3
9bamaEMftg4,E89taTH86_s,3
9bamaEMftg4,HwNgKJ-7YWQ,3
9bamaEMftg4,1Hfq9gBkwBE,1
9bamaEMftg4,5RWGh19yTXw,1
9bamaEMftg4,vYF8bnmdQfY,3
9bamaEMftg4,FVBzaTnDZKo,1
9bamaEMftg4,MXcddiS32s0,1
9bamaEMftg4,ZWiaQA8J5zs,1
9bamaEMftg4,LfZpLllgd5Q,2
9bamaEMftg4,SyuEVHBsqXg,1
E89taTH86_s,vOyB2PyRf-k,1
E89taTH86_s,YyMiSUfZtyU,1
E89taTH86_s,UBKdNQ4--Pc,1
E89taTH86_s,gsUE0CEz6g0,1
E89taTH86_s,9bamaEMftg4,1
E89taTH86_s,g-AqBrboooI,1
vOyB2PyRf-k,9bamaEMftg4,3
vOyB2PyRf-k,MXcddiS32s0,1
vOyB2PyRf-k,gPqoFFJAaDY,2
vOyB2PyRf-k,YhMlZczq4Ns,1
vOyB2PyRf-k,LfZpLllgd5Q,2
vOyB2PyRf-k,Gz0I_v-ihsE,1
vOyB2PyRf-k,qrYj5VJKLIs,3
vOyB2PyRf-k,H7inaTiDKaU,1
vOyB2PyRf-k,1Hfq9gBkwBE,1
vOyB2PyRf-k,zy7c_FHiEac,2
vOyB2PyRf-k,HwNgKJ-7YWQ,2
vOyB2PyRf-k,Ro86-LOuzI8,1
vOyB2PyRf-k,nRFkbZE7OjQ,1
RerKFYCVFVY,9bamaEMftg4,1
RerKFYCVFVY,HwNgKJ-7YWQ,1
RerKFYCVFVY,qrYj5VJKLIs,1
RerKFYCVFVY,O1DgWYdukZU,1
RerKFYCVFVY,Oq4xILmPZ9c,1
RerKFYCVFVY,1Hfq9gBkwBE,1
HwNgKJ-7YWQ,Bga_qG30JyY,3
HwNgKJ-7YWQ,LfZpLllgd5Q,3
HwNgKJ-7YWQ,qrYj5VJKLIs,2
HwNgKJ-7YWQ,FVBzaTnDZKo,1
HwNgKJ-7YWQ,YyMiSUfZtyU,1
HwNgKJ-7YWQ,vOyB2PyRf-k,1
HwNgKJ-7YWQ,ZWiaQA8J5zs,2
HwNgKJ-7YWQ,hKa3EZqofNo,1
HwNgKJ-7YWQ,zy7c_FHiEac,1
