Id;Genre;Probabilities
bOuEJf8Dr_4;Nonprofits & Activism; {'29': 0.9999999999999999}
A5dE25ANU0k;Nonprofits & Activism; {'29': 0.0999}
f0WCb23KPEw;Nonprofits & Activism; {'29': 0.3, '27': 0.0277, '28': 0.0333}
-KysuBl2m_w;Nonprofits & Activism; {'29': 0.5555}
SemHh0n19LA;Nonprofits & Activism; {'29': 0.3333}
LnJwH_PZXnM;Nonprofits & Activism; {'29': 0.1231, '22': 0.0128}
w-HYZv6HzAs;People & Blogs; {'29': 0.26, '27': 0.012, '26': 0.008}
9vJRopau0g0;Nonprofits & Activism; {'29': 0.0806, '28': 0.0019}
55HERZnmHT8;Nonprofits & Activism; {'29': 0.1326, '27': 0.0102}
4-079YIasck;Nonprofits & Activism; {'29': 0.0422, '27': 0.0033, '22': 0.0003, '28': 0.0004}
lLY76-NBBxQ;Nonprofits & Activism; {'29': 0.5833}
VaRO5-V1uK0;Nonprofits & Activism; {'29': 0.1714, '27': 0.0081, '24': 0.002, '22': 0.002}
bC0hlK7WGcM;Nonprofits & Activism; {'29': 0.4222, '24': 0.0222}
L9UIF852Boo;Nonprofits & Activism; {'29': 0.0574, '28': 0.0043}
uU6o2_UFSEY;Science & Technology; {'29': 0.2624, '28': 0.05}
H2rG4Dg6xyI;Nonprofits & Activism; {'29': 0.1857, '27': 0.0183}
KDQrMoksJ4Q;Nonprofits & Activism; {'29': 0.2166, '27': 0.0027, '28': 0.0027}
ycB29FkoylE;Nonprofits & Activism; {'29': 0.1155}
xnLoToJVQH4;Nonprofits & Activism; {'29': 0.189, '28': 0.001}
LNHBMFCzznE;Nonprofits & Activism; {'29': 0.1148, '27': 0.0061, '22': 0.0024}
7XFLTDQ4JMk;Nonprofits & Activism; {'29': 0.9999}
pi4JOlMSWjo;Nonprofits & Activism; {'29': 0.1163, '27': 0.0163, '28': 0.0102}
7c5t6FkvUG0;Nonprofits & Activism; {'29': 0.3, '27': 0.0333}
RlSwsE22nX0;Nonprofits & Activism; {'29': 0.1893}
NHHPNMIK-fY;Education; {'29': 0.225, '27': 0.025}
TFbv757kup4;Nonprofits & Activism; {'29': 0.0664, '22': 0.0071, '24': 0.0027, '27': 0.0005}
v1ojZKWfShQ;Nonprofits & Activism; {'29': 0.18, '22': 0.02}
vj-91dMvQQo;Nonprofits & Activism; {'29': 0.9999}
y2X7c9TUQJ8;Nonprofits & Activism; {'29': 0.9999}
vo_lZiytsMw;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
H6n3iNh4XLI;Nonprofits & Activism; {'29': 0.9999}
jOJLx4Du3vU;Nonprofits & Activism; {'29': 0.0418, '25': 0.0037, '27': 0.0005, '26': 0.0005}
WQvfNG9bkz0;Nonprofits & Activism; {'27': 0.0499, '29': 0.2666, '28': 0.0166}
iuel1AFKSDo;Nonprofits & Activism; {'27': 0.0333, '29': 0.25, '28': 0.0499}
hnnv5EO1Xfw;Nonprofits & Activism; {'27': 0.0999, '29': 0.1999, '28': 0.0333}
GrxJ-9_qXeM;Nonprofits & Activism; {'29': 0.1592, '27': 0.0012}
fBQnQTkhsq4;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
qS7mBbXxJYA;Nonprofits & Activism; {'29': 0.1718}
36m1o-tM05g;Nonprofits & Activism; {'29': 0.1139, '24': 0.0007, '22': 0.0052}
lo0X2ZdElQ4;Nonprofits & Activism; {'29': 0.1836}
-wkdH_wluhw;Nonprofits & Activism; {'29': 0.8499, '28': 0.15}
3W7GNMXhMDo;Nonprofits & Activism; {'29': 0.75, '22': 0.1, '28': 0.15}
Jb_1IklnhaU;Nonprofits & Activism; {'29': 0.3749}
28Ip-STEPKU;Nonprofits & Activism; {'29': 0.2499}
OKIyDMaxh4w;Nonprofits & Activism; {'29': 0.4444}
ihp1_szQlM8;Nonprofits & Activism; {'29': 0.9999}
M2NHvpM9PWU;Education; {'29': 0.7, '26': 0.1, '25': 0.1, '27': 0.1}
k1luKAS_Xcg;News & Politics; {'29': 0.5249, '26': 0.075, '27': 0.075, '22': 0.075}
