Source,Target,weight
sdQ1kql5VhE,yw5W4X0IJVQ,1
sdQ1kql5VhE,mQ4jHQ2B5Kg,1
yw5W4X0IJVQ,vQPvmo6jrzM,1
yw5W4X0IJVQ,O-lSPLMYPVI,1
yw5W4X0IJVQ,NuIpZOagDIA,1
vQPvmo6jrzM,fkZTu1j5q9Y,1
vQPvmo6jrzM,QCuxFBI4JtQ,1
vQPvmo6jrzM,0yImINjgAUM,1
fkZTu1j5q9Y,87y4tPr0PKw,1
fkZTu1j5q9Y,8DIOaaKX-m8,1
fkZTu1j5q9Y,WWnx65HT09c,1
87y4tPr0PKw,xPwUeTpysyQ,1
87y4tPr0PKw,8durDK5OolY,1
87y4tPr0PKw,WfhzqjrQpBo,1
8DIOaaKX-m8,87y4tPr0PKw,1
8DIOaaKX-m8,rOl_JbJJfEI,1
8DIOaaKX-m8,fkZTu1j5q9Y,1
WWnx65HT09c,a5o8nR_Sdbo,1
WWnx65HT09c,Z80E0Q1Qh5k,1
WWnx65HT09c,B1ciT_ns9Hs,1
QCuxFBI4JtQ,2CX9aZ_Ltcw,1
QCuxFBI4JtQ,IREzENs-c00,1
QCuxFBI4JtQ,DkiB0l2onqU,1
2CX9aZ_Ltcw,5jOXKETXlT0,1
2CX9aZ_Ltcw,wkBWgGXMoAQ,1
2CX9aZ_Ltcw,yWfGXOjBF2E,1
IREzENs-c00,s7qWfI7_JOs,1
IREzENs-c00,4bYq8XTxHZU,1
IREzENs-c00,QLeEnWRZPWk,1
DkiB0l2onqU,uJObxXPie_U,1
DkiB0l2onqU,U1vEK5c2QgI,1
DkiB0l2onqU,i0nbrFC2ujE,1
0yImINjgAUM,-z7_Dq_aGoA,1
0yImINjgAUM,oXHTcEk8-Gk,1
0yImINjgAUM,LxYT7QMT_pA,1
-z7_Dq_aGoA,P1IYdjiWfyI,1
-z7_Dq_aGoA,0yImINjgAUM,1
-z7_Dq_aGoA,YSMNBrzJWGA,1
oXHTcEk8-Gk,E0rV-Ye7Kvg,1
oXHTcEk8-Gk,JN11JClxdA4,1
oXHTcEk8-Gk,gyIInQ9QAeM,1
LxYT7QMT_pA,zRuuRPM3X3o,1
LxYT7QMT_pA,szy3ujSTaH0,1
LxYT7QMT_pA,xZiQiGxlF-E,1
O-lSPLMYPVI,iLHRYSJf_pM,1
O-lSPLMYPVI,aJ5R5ZLjTdY,1
O-lSPLMYPVI,FSRZSlobQRo,2
O-lSPLMYPVI,b3VTeppIOmA,1
O-lSPLMYPVI,9aYzvzvjkYQ,1
iLHRYSJf_pM,yigNYRxCm4s,1
iLHRYSJf_pM,GFeYhJNq30g,1
iLHRYSJf_pM,OKrZ8vkfOs0,1
yigNYRxCm4s,W6kKErJ_uh0,1
yigNYRxCm4s,YXJp96mzKEk,1
yigNYRxCm4s,gcRihdcq8-s,1
GFeYhJNq30g,yrkZreEVh90,1
GFeYhJNq30g,l80HZyINryE,1
GFeYhJNq30g,Tuw8hxrFBH8,1
Tuw8hxrFBH8,TBuIGBCF9jc,2
Tuw8hxrFBH8,4DA82guEXSQ,2
Tuw8hxrFBH8,vyzdlD44ebk,1
Tuw8hxrFBH8,k9zTr2MAFRg,2
Tuw8hxrFBH8,VSceuiPBpxY,1
Tuw8hxrFBH8,DbfejwP1d3c,2
Tuw8hxrFBH8,oEVnq6LIKOM,2
Tuw8hxrFBH8,6BOf10sXFGs,1
Tuw8hxrFBH8,MnrJzXM7a6o,1
Tuw8hxrFBH8,oeqPrUmVz-o,1
OKrZ8vkfOs0,0f-7difJlfA,1
OKrZ8vkfOs0,U-1JuUoJ3to,1
OKrZ8vkfOs0,HfElB6eXww8,1
aJ5R5ZLjTdY,EHfOpU36jP8,1
aJ5R5ZLjTdY,q2qDfF0pxFg,1
aJ5R5ZLjTdY,CAdzBxXlcbU,1
