Id;Genre;Probabilities
9C_HReR_McQ;Film & Animation; {'1': 0.6499999999999999, '22': 0.1, '23': 0.15000000000000002, '27': 0.1}
G9FGgwCQ22w;Film & Animation; {'1': 0.01611111111111111, '27': 0.004444444444444444, '22': 0.002777777777777778, '23': 0.0022222222222222222, '10': 0.0011111111111111111, '24': 0.0011111111111111111}
dbL-NSkXnl8;Film & Animation; {'1': 0.05555555555555555, '29': 0.005555555555555556, '27': 0.01666666666666667, '10': 0.011111111111111112, '23': 0.005555555555555556, '24': 0.005555555555555556, '20': 0.005555555555555556, '22': 0.005555555555555556}
eDbrlgCRTSw;Education; {'23': 0.2, '22': 0.30000000000000004, '10': 0.30000000000000004, '27': 0.1, '1': 0.1}
h2Vr9Hx12Zk;Music; {'10': 0.025999999999999995, '1': 0.013000000000000001, '27': 0.001}
B_bM8IpGxLQ;Music; {'10': 0.55, '1': 0.30000000000000004, '20': 0.1, '22': 0.05}
Tchc-VuvPdY;Film & Animation; {'22': 0.1, '20': 0.1, '1': 0.4, '10': 0.4}
hnNh__iIUJI;Gaming; {'1': 0.4, '20': 0.2, '10': 0.2, '24': 0.1, '22': 0.1}
6kj40pb4Os8;Music; {'24': 0.01666666666666667, '22': 0.011111111111111112, '20': 0.01666666666666667, '10': 0.061111111111111116, '1': 0.005555555555555556}
qlezQLWgZys;Film & Animation; {'22': 0.2, '10': 0.30000000000000004, '1': 0.5}
IyAC8Hh0atI;Film & Animation; {'1': 0.03333333333333334, '20': 0.022222222222222223, '10': 0.011111111111111112, '24': 0.011111111111111112, '27': 0.011111111111111112, '28': 0.005555555555555556, '23': 0.01666666666666667}
3cRoSQYjp0w;People & Blogs; {'1': 0.03333333333333334, '22': 0.03333333333333334, '10': 0.022222222222222223, '24': 0.011111111111111112, '23': 0.005555555555555556, '20': 0.005555555555555556}
drhqlbciI2I;Music; {'10': 0.4, '24': 0.1, '1': 0.2, '27': 0.1, '26': 0.1, '20': 0.1}
TNOWHHYZCzI;Music; {'10': 0.7999999999999999, '1': 0.1, '22': 0.1}
mPg1tnfUguo;Education; {'27': 0.7, '10': 0.1, '22': 0.1, '1': 0.1}
vtkGtXtDlQA;Film & Animation; {'1': 0.07777777777777777, '22': 0.01666666666666667, '24': 0.005555555555555556, '27': 0.005555555555555556, '10': 0.005555555555555556}
5CIP2mz8rpg;Comedy; {'1': 0.30000000000000004, '20': 0.1, '10': 0.2, '22': 0.30000000000000004, '24': 0.1}
w45Vc3uv1Yk;Film & Animation; {'20': 0.0031250000000000006, '1': 0.0111328125, '26': 0.0001953125, '24': 0.001171875}
At6aUZGWZXg;Film & Animation; {'24': 0.0016999999999999997, '1': 0.0072, '27': 0.0006999999999999999, '22': 0.00030000000000000003, '26': 0.0001}
FM5dXBD1U_I;Film & Animation; {'1': 0.0368, '27': 0.0008, '10': 0.0024000000000000002}
JcpboMScfIY;Entertainment; {'20': 0.0125, '24': 0.043750000000000004, '1': 0.015625, '23': 0.0015625, '10': 0.003125, '25': 0.0015625}
BpfGELntT14;Film & Animation; {'1': 0.9999999999999999}
sXOdn6vLCuU;Film & Animation; {'1': 0.06666666666666667, '27': 0.011111111111111112, '24': 0.005555555555555556, '22': 0.011111111111111112, '10': 0.011111111111111112, '23': 0.005555555555555556}
xD-IQaxHcE4;Comedy; {'23': 0.07777777777777777, '20': 0.011111111111111112, '22': 0.005555555555555556, '28': 0.005555555555555556, '24': 0.005555555555555556, '27': 0.005555555555555556}
KQvXTRKvt5A;Comedy; {'23': 0.9999999999999999}
oVA6F5XtSJA;Comedy; {'23': 0.7999999999999999, '22': 0.1, '10': 0.1}
1LIfEmClwAw;Comedy; {'23': 0.09444444444444443, '22': 0.011111111111111112, '27': 0.005555555555555556}
KSlGJv3LZII;Comedy; {'23': 0.8999999999999999, '22': 0.1}
vdXfxcJumuU;Comedy; {'23': 0.8999999999999999, '10': 0.1}
QwSJOWQ3MCo;Comedy; {'23': 0.9999999999999999}
OmZB36csdRA;Comedy; {'23': 0.8999999999999999, '10': 0.1}
9hUfI0uQbS0;Comedy; {'23': 0.7, '27': 0.1, '10': 0.1, '20': 0.1}
nJEckyyeKsw;Comedy; {'23': 0.9999999999999999}
JJIO-Jr0E8o;Education; {'27': 0.4, '10': 0.30000000000000004, '24': 0.1, '22': 0.1, '23': 0.1}
VRlrYcJEsAQ;Music; {'1': 0.2, '27': 0.1, '10': 0.5, '22': 0.2}
b7Ac32ixV0E;Film & Animation; {'1': 0.137037037037037, '24': 0.003703703703703704, '20': 0.003703703703703704, '26': 0.003703703703703704}
7QJrsFJEEvY;Film & Animation; {'1': 0.9999999999999999}
Q3P92md6RfE;Film & Animation; {'1': 0.7999999999999999, '22': 0.1, '20': 0.1}
zG4aIVGHr6w;Film & Animation; {'1': 0.056249999999999994, '24': 0.00625}
lRLUo84TRRk;Film & Animation; {'1': 0.14444444444444446, '22': 0.003703703703703704}
L-0gD2jU98Y;Film & Animation; {'1': 0.09999999999999999, '22': 0.005555555555555556, '27': 0.005555555555555556}
QJlqY1O4B00;Film & Animation; {'1': 0.0375, '24': 0.014062499999999999, '20': 0.0109375}
OixC6jcXCwo;Entertainment; {'1': 0.2, '24': 0.6, '22': 0.2}
7S1SVkysIRw;Gaming; {'20': 0.7, '24': 0.1, '1': 0.2}
HdVRyOX6S4A;Entertainment; {'1': 0.0140625, '24': 0.03125, '10': 0.009375000000000001, '20': 0.004687500000000001, '27': 0.003125}
4VzPrwo2Js8;Music; {'10': 0.5, '1': 0.30000000000000004, '24': 0.1, '22': 0.1}
Wh13eaXsxCQ;Music; {'1': 0.012000000000000002, '10': 0.017, '22': 0.008, '24': 0.0030000000000000005}
10P52OzMwTc;People & Blogs; {'10': 0.0875, '22': 0.15416666666666667, '24': 0.06666666666666667, '1': 0.025}
8sBTfyFICRo;Music; {'10': 0.6, '24': 0.4}
VzsM0pPeEf0;Music; {'10': 0.7999999999999999, '22': 0.2}
n2SkNtMmqnU;Music; {'10': 0.8999999999999999, '1': 0.1}
twM7ulKpPjI;Music; {'10': 0.7, '24': 0.2, '22': 0.1}
mhrIFy0sGSQ;Film & Animation; {'24': 0.1, '10': 0.4, '1': 0.4, '19': 0.1}
fotXe4n731E;Music; {'10': 0.9999999999999999}
3ZBr3BIjPW0;Film & Animation; {'27': 0.4, '10': 0.4, '24': 0.1, '1': 0.1}
rHtq5GIIUV8;Education; {'27': 0.7999999999999999, '1': 0.1, '24': 0.1}
wyGJA1-dPFA;Education; {'27': 0.7999999999999999, '24': 0.2}
75NQK-Sm1YY;Film & Animation; {'1': 0.4, '27': 0.30000000000000004, '24': 0.1, '10': 0.2}
rtVYarn1VXs;People & Blogs; {'22': 0.4, '10': 0.4, '23': 0.1, '1': 0.1}
vlsgZ7w7V8E;Music; {'20': 0.1, '1': 0.1, '10': 0.2, '22': 0.5, '24': 0.1}
f7UsPOoB5HM;Music; {'22': 0.4, '10': 0.6}
LJJp2Z-qu7k;People & Blogs; {'22': 0.5, '10': 0.5}
A3eYeuamAAE;Film & Animation; {'1': 0.30000000000000004, '22': 0.6, '24': 0.1}
H6jlH9_ooeo;Music; {'22': 0.4, '10': 0.6}
jLKOBJR5vHs;Music; {'10': 0.7999999999999999, '24': 0.1, '22': 0.1}
qgh4lRFchQM;Music; {'10': 0.8999999999999999, '24': 0.1}
W_EI0QaTvcU;Music; {'10': 0.8999999999999999, '24': 0.1}
TejRWe0aA9o;People & Blogs; {'22': 0.7, '10': 0.30000000000000004}
x2Db5T3tof0;People & Blogs; {'22': 0.7, '10': 0.30000000000000004}
CtiMUVEuAJ4;Music; {'22': 0.6, '10': 0.30000000000000004, '24': 0.1}
vMBfRT1Yg5I;People & Blogs; {'22': 0.7, '10': 0.30000000000000004}
9Ux2ZxSXePs;Education; {'1': 0.009444444444444445, '22': 0.007777777777777778, '24': 0.0044444444444444444, '23': 0.001666666666666667, '10': 0.003333333333333334, '20': 0.0005555555555555556, '27': 0.0005555555555555556}
xuCn8ux2gbs;People & Blogs; {'22': 0.020000000000000004, '27': 0.032, '1': 0.017333333333333333, '23': 0.0013333333333333333, '10': 0.004000000000000001, '24': 0.005333333333333333}
uD4izuDMUQA;Music; {'10': 0.01875, '27': 0.0421875, '28': 0.014583333333333335, '22': 0.0109375, '24': 0.007291666666666667}
wD6hyGXRcgk;Education; {'28': 0.30000000000000004, '27': 0.5, '10': 0.2}
b_TkFhj9mgk;Science & Technology; {'27': 0.05, '28': 0.33749999999999997, '10': 0.04375, '25': 0.00625}
OeYnV9zp7Dk;Music; {'10': 0.2, '27': 0.30000000000000004, '24': 0.30000000000000004, '28': 0.1, '22': 0.1}
ATlila3e9dM;Education; {'27': 0.5, '24': 0.5}
Cln0J87vulU;Entertainment; {'24': 0.30000000000000004, '27': 0.5, '23': 0.1, '22': 0.1}
BXpu6tbFCsI;Education; {'24': 0.5, '27': 0.4, '22': 0.1}
26EivpCPHnQ;Entertainment; {'24': 0.12916666666666668, '20': 0.004166666666666667, '22': 0.004166666666666667, '27': 0.19583333333333333}
docLm47PRKU;Education; {'27': 0.7999999999999999, '1': 0.1, '22': 0.1}
zqGgKycT-Uo;Education; {'27': 0.9999999999999999}
4OCHLy5rP58;People & Blogs; {'22': 0.30000000000000004, '20': 0.5, '24': 0.2}
KQtd2NzZWPo;Education; {'27': 0.8999999999999999, '24': 0.1}
wmbWHdOdH0Q;Howto & Style; {'26': 0.024, '27': 0.001, '20': 0.008, '1': 0.006999999999999999}
dxC7gMfoI-M;Howto & Style; {'26': 0.7999999999999999, '20': 0.1, '1': 0.1}
FbsESdGUmBI;Howto & Style; {'26': 0.021111111111111112, '20': 0.005, '1': 0.001666666666666667}
Neau6ttz6Bk;Gaming; {'1': 0.009600000000000001, '20': 0.026399999999999996, '26': 0.004}
75DlnMlMgIQ;Gaming; {'20': 0.10555555555555556, '26': 0.005555555555555556}
ILvxrQr5nVI;Gaming; {'20': 0.02040816326530612}
iFonEHwC65Q;Gaming; {'20': 0.0515625, '1': 0.00625, '24': 0.004687500000000001}
z-uOvB72RGw;Gaming; {'20': 0.040083333333333325, '22': 2.380952380952381e-05, '26': 0.005440476190476191, '1': 0.005238095238095239, '24': 0.00026190476190476197, '27': 2.380952380952381e-05}
Z-TG3FUFx5Y;Film & Animation; {'1': 0.6, '27': 0.1, '23': 0.2, '24': 0.1}
fZu3P0OsQPk;Film & Animation; {'1': 0.5, '22': 0.1, '23': 0.1, '20': 0.1, '27': 0.1, '10': 0.1}
kJIVnLImawY;Comedy; {'1': 0.30000000000000004, '10': 0.2, '23': 0.30000000000000004, '27': 0.2}
jJOwdrTA8Gw;Film & Animation; {'1': 0.4, '23': 0.30000000000000004, '20': 0.1, '22': 0.1, '27': 0.1}
Cxqca4RQd_M;Comedy; {'23': 0.5, '22': 0.30000000000000004, '20': 0.1, '10': 0.1}
mt1kWNImkxo;Film & Animation; {'1': 0.6, '23': 0.2, '22': 0.1, '24': 0.1}
KLogDTH0oXA;Music; {'10': 0.4, '22': 0.2, '1': 0.30000000000000004, '23': 0.1}
BX60wPPXhYs;People & Blogs; {'22': 0.8999999999999999, '10': 0.1}
XQixwoQGZbg;Film & Animation; {'10': 0.30000000000000004, '1': 0.4, '23': 0.2, '27': 0.1}
f2AaSmaY1XM;Music; {'10': 0.5, '22': 0.2, '24': 0.2, '23': 0.1}
UTlGQDF4aTQ;Film & Animation; {'20': 0.022222222222222227, '1': 0.07777777777777777, '24': 0.007407407407407408, '27': 0.003703703703703704}
HWB3VhIPWrU;Film & Animation; {'25': 0.0001, '1': 0.011400000000000002, '24': 0.0006000000000000001, '20': 0.0009}
JrO5e8-solQ;Film & Animation; {'26': 0.1, '1': 0.8999999999999999}
woiHzyUv7Ns;Howto & Style; {'26': 0.7999999999999999, '1': 0.1, '20': 0.1}
Z5x9bqGkgl4;Film & Animation; {'1': 0.033999999999999996, '20': 0.002, '26': 0.0030000000000000005, '24': 0.001}
T3b8_dQMeWw;Film & Animation; {'1': 0.8999999999999999, '20': 0.1}
5nRfaFgWL1c;Film & Animation; {'1': 0.022740524781341108, '20': 0.0029154518950437317, '22': 0.00029154518950437323, '24': 0.00029154518950437323}
vjPcIh1fVNg;Film & Animation; {'1': 0.09444444444444443, '24': 0.011111111111111112, '25': 0.005555555555555556}
Gi3HnqetpLw;Film & Animation; {'1': 0.027777777777777776, '26': 0.002777777777777778, '27': 0.000462962962962963, '20': 0.0013888888888888892}
oHfGhuidwBg;Film & Animation; {'1': 0.1111111111111111}
RnLTZoH3O2E;Film & Animation; {'1': 0.09444444444444443, '22': 0.005555555555555556, '20': 0.011111111111111112}
