Id;Genre;Probabilities
wTdRiedQJPI;People & Blogs; {'17': 0.7999999999999999, '22': 0.2}
ji-7r4v5Bzs;Sports; {'17': 0.55, '22': 0.15000000000000002, '24': 0.25, '27': 0.05}
dHlc6fiiXwA;Sports; {'17': 0.7624999999999998, '24': 0.09999999999999999, '23': 0.0125, '20': 0.0125, '2': 0.0125, '1': 0.025, '27': 0.025, '22': 0.025, '25': 0.025}
G1YSfHWHM44;Comedy; {'28': 0.2, '27': 0.1, '23': 0.30000000000000004, '10': 0.1, '24': 0.1, '1': 0.1, '26': 0.1}
c8VcUnz3nVc;Education; {'27': 0.30000000000000004, '24': 0.4, '28': 0.1, '20': 0.15000000000000002, '23': 0.05}
flgwsL1wAcE;Gaming; {'20': 0.7999999999999999, '24': 0.2}
HTri8y9Ia5E;Gaming; {'20': 0.9999999999999999}
wtt-uPS_VhU;Gaming; {'20': 0.7, '22': 0.2, '24': 0.1}
S54Xb0OtArE;Gaming; {'20': 0.8999999999999999, '24': 0.1}
GBfRk5v5YGU;Entertainment; {'24': 0.6, '26': 0.1, '27': 0.1, '17': 0.1, '28': 0.1}
7fJdnXABBv0;Entertainment; {'24': 0.7999999999999999, '17': 0.1, '22': 0.1}
pW8zfDIfQK4;Entertainment; {'24': 0.8999999999999999, '23': 0.1}
UYvmvr5_smQ;Entertainment; {'24': 0.8999999999999999, '27': 0.1}
sYbEeoXqDeI;Entertainment; {'27': 0.1, '24': 0.7, '20': 0.2}
9bqk6ZUsKyA;Entertainment; {'24': 0.8999999999999999, '20': 0.1}
034d3YsSxHw;Entertainment; {'26': 0.1, '24': 0.7999999999999999, '20': 0.1}
xiRrmMeu4gc;Comedy; {'23': 0.4, '25': 0.1, '20': 0.1, '24': 0.2, '1': 0.1, '22': 0.1}
pOrSwH0so-U;Gaming; {'24': 0.2, '10': 0.1, '23': 0.30000000000000004, '17': 0.1, '22': 0.2, '2': 0.1}
ofOqUMeEwu8;Music; {'22': 0.30000000000000004, '23': 0.30000000000000004, '1': 0.1, '25': 0.1, '27': 0.1, '24': 0.1}
ADm5_sZKTVs;Entertainment; {'20': 0.1, '23': 0.5, '22': 0.1, '26': 0.1, '24': 0.2}
oR7v-enA428;People & Blogs; {'22': 0.4, '24': 0.1, '23': 0.4, '10': 0.1}
m9NYUPL9o3E;Comedy; {'23': 0.6, '24': 0.2, '22': 0.2}
NkNQJHbq7Ok;Comedy; {'23': 0.6, '22': 0.2, '24': 0.1, '10': 0.1}
UnW52iopZcw;People & Blogs; {'24': 0.7, '10': 0.1, '23': 0.1, '1': 0.1}
NuE-2yHiCm0;People & Blogs; {'22': 0.6571428571428571, '24': 0.18571428571428572, '23': 0.2571428571428572, '27': 0.028571428571428574, '1': 0.014285714285714287}
GXKM_2RZpbY;Entertainment; {'24': 0.5, '23': 0.2, '25': 0.1, '22': 0.2}
NPMoSvKhafY;People & Blogs; {'24': 0.30000000000000004, '10': 0.30000000000000004, '22': 0.30000000000000004, '25': 0.1}
o0hXy8qWa4w;Entertainment; {'24': 0.7, '22': 0.1, '26': 0.1, '27': 0.1}
3OfSCVmIrPU;News & Politics; {'25': 0.7999999999999999, '29': 0.1, '27': 0.1}
aqipiqO1m4U;Entertainment; {'24': 0.4, '20': 0.4, '28': 0.1, '22': 0.1}
rJylehVPGkw;Entertainment; {'24': 0.2, '20': 0.6, '23': 0.2}
PGg3NUNQ-jQ;Gaming; {'22': 0.1, '24': 0.30000000000000004, '20': 0.4, '1': 0.1, '28': 0.1}
4OOi7xkl8K4;Entertainment; {'24': 0.6, '20': 0.2, '23': 0.1, '22': 0.1}
gF4uXGcliu8;Gaming; {'20': 0.5, '24': 0.5}
P0c2mrOBUzY;Gaming; {'20': 0.6, '24': 0.2, '23': 0.2}
hgTwmINZ_tQ;Comedy; {'23': 0.8999999999999999, '22': 0.1}
_Nb_J9FMVJs;Entertainment; {'24': 0.7999999999999999, '26': 0.03333333333333333, '20': 0.13333333333333333, '23': 0.03333333333333333}
LxiHUYVOjxA;Gaming; {'20': 0.8999999999999999, '22': 0.1}
vHfPJ1-ERIQ;Entertainment; {'24': 0.6, '20': 0.4}
OSXbYwoCc5Y;Entertainment; {'24': 0.5, '20': 0.5}
YQB6-F2TnAc;Entertainment; {'24': 0.8999999999999999, '20': 0.1}
6yq1sO8hTQ0;Sports; {'17': 0.8454545454545453, '22': 0.13636363636363638, '26': 0.07272727272727272, '25': 0.018181818181818184, '27': 0.09090909090909091, '10': 0.03636363636363637, '28': 0.05454545454545454, '2': 0.009090909090909092, '24': 0.009090909090909092}
c8qjgmJzNl8;Howto & Style; {'26': 0.5, '28': 0.16666666666666666, '27': 0.10000000000000002, '2': 0.13333333333333333, '24': 0.03333333333333333, '22': 0.06666666666666667}
y-OKi8oSNQ4;Science & Technology; {'28': 0.2, '2': 0.30000000000000004, '24': 0.1, '26': 0.2, '27': 0.2}
V7-mcjR59a4;Howto & Style; {'27': 0.2, '28': 0.4, '26': 0.2, '2': 0.1, '22': 0.1}
pMtqDWUpJds;Science & Technology; {'27': 0.35000000000000003, '28': 0.4, '26': 0.25}
60gCK0zCZO8;Science & Technology; {'27': 0.2, '26': 0.2, '2': 0.2, '24': 0.1, '28': 0.30000000000000004}
S6spZdzqFxg;Autos & Vehicles; {'26': 0.4, '28': 0.1, '2': 0.4, '27': 0.1}
qi5zwQzNnnk;Autos & Vehicles; {'2': 0.7999999999999999, '27': 0.1, '28': 0.1}
TrP8RfV3Od0;Autos & Vehicles; {'2': 0.7, '26': 0.30000000000000004}
