Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 1.2, '20': 0.15, '24': 0.05, '2': 0.1}
7LuTGEtWKf0;Comedy; {'23': 1.3499, '24': 0.05, '1': 0.05, '2': 0.05}
GLw3TPRtegg;Comedy; {'23': 0.7749, '24': 0.1, '20': 0.1, '10': 0.025}
QZGlhkeehZ4;Comedy; {'23': 0.8749, '24': 0.1374, '22': 0.1, '20': 0.0125}
QrH28LslpWM;Comedy; {'23': 0.95, '24': 0.05}
HR4YBpLYb-8;Comedy; {'23': 0.7, '22': 0.2, '24': 0.1}
3lOX7K8_cHM;Comedy; {'23': 0.4, '20': 0.1, '1': 0.1, '24': 0.2, '2': 0.1, '22': 0.1}
HHI8KAzlCKo;Comedy; {'23': 0.9, '24': 0.1}
ZDfAUECD_tY;Entertainment; {'23': 0.9999}
S8gCAIABPM0;Comedy; {'23': 0.7999, '24': 0.2}
QrXm2U8dfOo;Comedy; {'20': 0.0266, '23': 0.6599, '2': 0.1, '22': 0.1266, '24': 0.0666, '1': 0.08, '10': 0.0066}
0X3DRFa11dk;Comedy; {'23': 0.6, '24': 0.3, '22': 0.1}
5AObrH_wWBE;Comedy; {'23': 0.6, '28': 0.1, '24': 0.1, '22': 0.1, '1': 0.1}
gfkfu5bWIlc;Comedy; {'23': 0.7999, '20': 0.1, '2': 0.1}
1U7M1mEMvsU;Film & Animation; {'23': 0.725, '20': 0.025, '2': 0.0999, '24': 0.0999, '22': 0.05}
TTSEDCpMI90;Comedy; {'23': 0.7999, '22': 0.05, '24': 0.05, '15': 0.05, '10': 0.05}
159idhAvpgU;Comedy; {'23': 0.9, '24': 0.1}
EskpU46thdg;Comedy; {'23': 0.7999, '20': 0.0333, '24': 0.0666, '10': 0.0333, '2': 0.0333, '22': 0.0333}
TxfcHGQE6xI;Comedy; {'23': 0.62, '24': 0.12, '10': 0.1, '2': 0.1, '1': 0.06}
JqDD6XVLj2k;Comedy; {'23': 0.9, '24': 0.1}
SatDmzzuYqU;Comedy; {'23': 0.95, '10': 0.05}
b76ESyLsSlc;Comedy; {'23': 0.8333, '10': 0.0166, '2': 0.0166, '22': 0.0166, '24': 0.1166}
25RVrrogfyg;Comedy; {'23': 0.9, '22': 0.1}
axtgFRvTEwM;Comedy; {'23': 0.7999, '24': 0.15, '10': 0.05}
ZlraBkzeit4;Comedy; {'24': 0.1, '23': 0.7999, '10': 0.05, '2': 0.05}
S5FaiokJEss;Comedy; {'23': 0.95, '1': 0.05}
Bz4eYfZ3t3k;Entertainment; {'23': 0.75, '24': 0.2, '20': 0.05}
nQIplI1FocU;Gaming; {'23': 0.7384, '20': 0.0923, '2': 0.1076, '10': 0.0384, '24': 0.0692, '22': 0.0076, '25': 0.0076, '1': 0.0076, '27': 0.0076}
aK44gov4ELc;Comedy; {'23': 0.91, '2': 0.12, '20': 0.1099, '24': 0.06}
Pg1QPuXBnMw;Gaming; {'20': 0.1, '23': 0.6499, '22': 0.05, '10': 0.15, '1': 0.05}
2tTOJvw6EQA;Comedy; {'23': 0.64, '20': 0.1, '22': 0.1, '24': 0.06, '1': 0.04, '2': 0.06}
PdFB7q89_3U;Comedy; {'23': 0.4, '24': 0.5, '10': 0.1}
Umm0kxOx3FI;Comedy; {'23': 0.75, '24': 0.1, '10': 0.1, '2': 0.05}
E-BZmD0OfZg;Comedy; {'23': 0.7, '24': 0.2, '10': 0.1}
E3te2FP6AWg;Comedy; {'23': 0.7416, '2': 0.1083, '24': 0.1333, '1': 0.0583, '22': 0.0083, '20': 0.025, '28': 0.0083}
q1Km6E_0sLg;Comedy; {'1': 0.1, '23': 0.3, '24': 0.4, '22': 0.2}
1ukD56qosRA;Comedy; {'23': 0.9, '24': 0.38, '22': 0.08, '1': 0.04}
kqoYPyHxPnE;Comedy; {'23': 0.7666, '20': 0.1, '2': 0.0666, '24': 0.0666}
xfNplafuxz0;Comedy; {'23': 1.2599, '24': 0.1399, '20': 0.1599, '2': 0.04}
