Source,Target,weight
5xs2BSGe8Wg,x-3e9ujHTEA,3
5xs2BSGe8Wg,HmzrPFWnq-c,3
5xs2BSGe8Wg,W3NTAImpNBQ,3
x-3e9ujHTEA,FkhWK33SMwg,3
x-3e9ujHTEA,HmzrPFWnq-c,3
x-3e9ujHTEA,WUupTMljhyA,3
FkhWK33SMwg,EHIKEHCXfjU,3
FkhWK33SMwg,WUupTMljhyA,6
FkhWK33SMwg,HmzrPFWnq-c,3
FkhWK33SMwg,yu_-GdxSKnk,12
FkhWK33SMwg,5InzccRssnE,6
FkhWK33SMwg,dVo0v5yypW0,6
FkhWK33SMwg,YwwP82d9CpE,6
FkhWK33SMwg,hdxOvmkFTc4,6
FkhWK33SMwg,TE32c0-HGvE,3
FkhWK33SMwg,41NjpwenCBM,3
FkhWK33SMwg,VxZCqwX3zEc,3
FkhWK33SMwg,0k6X03XvxWw,3
FkhWK33SMwg,JowIQEYfqEE,3
EHIKEHCXfjU,79ExQWKb2vA,6
EHIKEHCXfjU,_j9nFced_eo,3
EHIKEHCXfjU,Lu7LwMxhiUk,3
EHIKEHCXfjU,Rnny2C1RFHk,3
EHIKEHCXfjU,r4qQElJUYnM,3
79ExQWKb2vA,MJVL9HegCr4,15
79ExQWKb2vA,S-TO_OP_wTM,14
79ExQWKb2vA,mJ0bVUPd6Mc,11
79ExQWKb2vA,OOf_WPwZ_X4,15
79ExQWKb2vA,epqYft12nV4,17
79ExQWKb2vA,H7inaTiDKaU,3
79ExQWKb2vA,8DYY68AAcYw,6
79ExQWKb2vA,GCHhwQUeEYU,12
79ExQWKb2vA,jXYMf8vK--g,9
79ExQWKb2vA,SWVgUwMTHEU,12
79ExQWKb2vA,zJIqYcPsgT4,3
79ExQWKb2vA,W_TSvENWQDc,3
79ExQWKb2vA,GpWH0d06YJM,3
79ExQWKb2vA,AUjyymFCIV4,3
79ExQWKb2vA,OII8_4iB_mk,5
79ExQWKb2vA,094y1Z2wpJg,5
79ExQWKb2vA,UBKdNQ4--Pc,2
MJVL9HegCr4,CP1LyV6n5TA,3
MJVL9HegCr4,E7t5yj1rScI,3
MJVL9HegCr4,OcL932W6E1w,3
MJVL9HegCr4,p_9XvHBb3nw,3
MJVL9HegCr4,_JuyDN0qzRY,3
MJVL9HegCr4,KLdYfEIX8e0,3
S-TO_OP_wTM,Hfwbar9gOL8,3
S-TO_OP_wTM,uT4JoaQWkkQ,3
S-TO_OP_wTM,GCHhwQUeEYU,3
GCHhwQUeEYU,OOf_WPwZ_X4,3
GCHhwQUeEYU,R7DmjNkeO0k,3
GCHhwQUeEYU,xlk3pMEM6xs,3
