Genre,Education,Entertainment,Nonprofits & Activism,People & Blogs,Howto & Style,News & Politics,Comedy,Music,Sports,Film & Animation,Gaming,Travel & Events,Autos & Vehicles,Pets & Animals,Science & Technology
Science & Technology,0.36401674,0.37704918,0.05000000,0.45519713,0.20000000,0.06172840,0.20833333,0.09523810,0.30275229,-0.18750000,0.31221719,-0.31034483,0.31531532,-0.38181818,0.00000000
Education,0.00000000,0.24084778,-0.05913978,0.24952381,-0.03957784,-0.15542522,-0.07945205,0.08796296,0.10859729,-0.34013605,0.13024283,-0.39222615,0.17052632,-0.48679245,-0.09444444
Entertainment,0.10273973,0.00000000,-0.14161220,0.20726172,-0.12931034,-0.19362187,-0.13419913,-0.04800000,0.04553734,-0.40106952,0.06093190,-0.46368715,0.00380228,-0.65299685,-0.21860465
Nonprofits & Activism,0.24113475,0.29605263,0.00000000,0.24381625,-0.03883495,-0.01421801,-0.15675676,-0.03883495,0.10833333,-0.30487805,0.11934156,-0.37179487,0.08936170,-0.44594595,-0.12041885
People & Blogs,0.10810811,0.20361991,-0.20000000,0.00000000,-0.11627907,-0.18385650,-0.14285714,-0.03937008,0.10659898,-0.37859008,0.07042254,-0.46666667,0.07692308,-0.45454545,-0.13062099
Howto & Style,0.17799353,0.22796353,-0.12389381,0.24404762,0.00000000,-0.10917031,-0.10917031,0.01550388,0.08303249,-0.38043478,0.16993464,-0.33684211,0.17263844,-0.46820809,-0.05394191
News & Politics,0.24137931,0.33584906,0.08333333,0.34814815,0.07368421,0.00000000,0.13300493,0.09743590,0.13300493,-0.28467153,0.26050420,-0.30370370,0.27272727,-0.30370370,-0.01149425
Comedy,0.25842697,0.33779264,-0.11864407,0.33333333,0.01492537,0.07476636,0.00000000,0.16455696,0.14655172,-0.22981366,0.25563910,-0.38461538,0.18181818,-0.38461538,0.07906977
Music,0.18987342,0.19597990,-0.23552124,0.20792079,-0.09965636,-0.19850187,-0.07382550,0.00000000,0.03903904,-0.40969163,0.06976744,-0.43497758,0.05044510,-0.48837209,-0.26984127
Sports,0.11872146,0.19583333,-0.18404908,0.25769231,-0.12536443,-0.25324675,-0.18404908,-0.05464481,0.00000000,-0.40363636,0.06987952,-0.50194553,0.09389671,-0.49034749,-0.15223881
Film & Animation,0.35664336,0.41772152,0.10679612,0.44242424,0.10679612,0.03157895,0.14814815,0.18584071,0.28125000,0.00000000,0.29230769,-0.46031746,0.33812950,-0.43750000,0.06122449
Gaming,0.15837104,0.22821577,-0.15527950,0.24081633,-0.01917808,-0.10714286,-0.05382436,-0.00540541,0.08823529,-0.37777778,0.00000000,-0.48207171,0.06297229,-0.51219512,-0.12386707
Travel & Events,0.36507937,0.41176471,0.10112360,0.41176471,0.22330097,0.08045977,0.04761905,0.22330097,0.23076923,-0.40350877,0.23809524,0.00000000,0.26605505,-0.31147541,0.00000000
Autos & Vehicles,0.15113872,0.12579957,-0.23123123,0.20077973,-0.06493506,-0.14206128,-0.17816092,-0.07329843,0.06392694,-0.37583893,0.01442308,-0.49635036,0.00000000,-0.64658635,-0.16809117
Pets & Animals,0.54545455,0.46666667,0.34426230,0.66386555,0.39393939,0.40298507,0.37500000,0.46666667,0.53488372,-0.05263158,0.50000000,0.02439024,0.37500000,0.00000000,0.25925926
