Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.0375, '20': 0.0046, '24': 0.0015, '2': 0.0031}
7LuTGEtWKf0;Comedy; {'23': 0.0421, '24': 0.0015, '1': 0.0015, '2': 0.0015}
GLw3TPRtegg;Comedy; {'23': 0.0007, '24': 0.0, '20': 0.0, '10': 0.0}
QZGlhkeehZ4;Comedy; {'23': 0.0, '24': 0.0, '22': 0.0, '20': 0.0}
QrH28LslpWM;Comedy; {'23': 0.0039, '24': 0.0001}
HR4YBpLYb-8;Comedy; {'23': 0.7, '22': 0.2, '24': 0.1}
3lOX7K8_cHM;Comedy; {'23': 0.4, '20': 0.1, '1': 0.1, '24': 0.2, '2': 0.1, '22': 0.1}
HHI8KAzlCKo;Comedy; {'23': 0.9, '24': 0.1}
ZDfAUECD_tY;Entertainment; {'23': 0.9999}
S8gCAIABPM0;Comedy; {'23': 0.7999, '24': 0.2}
QrXm2U8dfOo;Comedy; {'20': 0.0, '23': 0.0, '2': 0.0, '22': 0.0, '24': 0.0, '1': 0.0, '10': 0.0}
0X3DRFa11dk;Comedy; {'23': 0.6, '24': 0.3, '22': 0.1}
5AObrH_wWBE;Comedy; {'23': 0.6, '28': 0.1, '24': 0.1, '22': 0.1, '1': 0.1}
gfkfu5bWIlc;Comedy; {'23': 0.7999, '20': 0.1, '2': 0.1}
1U7M1mEMvsU;Film & Animation; {'23': 0.0, '20': 0.0, '2': 0.0, '24': 0.0, '22': 0.0}
TTSEDCpMI90;Comedy; {'23': 0.0032, '22': 0.0001, '24': 0.0001, '15': 0.0001, '10': 0.0001}
159idhAvpgU;Comedy; {'23': 0.0037, '24': 0.0003}
EskpU46thdg;Comedy; {'23': 0.0007, '20': 0.0, '24': 0.0, '10': 0.0, '2': 0.0, '22': 0.0}
TxfcHGQE6xI;Comedy; {'23': 0.0001, '24': 0.0, '10': 0.0, '2': 0.0, '1': 0.0}
JqDD6XVLj2k;Comedy; {'23': 0.9, '24': 0.1}
SatDmzzuYqU;Comedy; {'23': 0.0039, '10': 0.0001}
b76ESyLsSlc;Comedy; {'23': 0.0, '10': 0.0, '2': 0.0, '22': 0.0, '24': 0.0}
25RVrrogfyg;Comedy; {'23': 0.9, '22': 0.1}
