Id;Genre;Probabilities
bOuEJf8Dr_4;Nonprofits & Activism; {'29': 0.9999999999999999}
A5dE25ANU0k;Nonprofits & Activism; {'29': 0.0099}
f0WCb23KPEw;Nonprofits & Activism; {'29': 0.0499, '27': 0.0046, '28': 0.0055}
-KysuBl2m_w;Nonprofits & Activism; {'29': 0.1851}
SemHh0n19LA;Nonprofits & Activism; {'29': 0.1111}
LnJwH_PZXnM;Nonprofits & Activism; {'29': 0.0072, '22': 0.0007}
w-HYZv6HzAs;People & Blogs; {'29': 0.052, '27': 0.0024, '26': 0.0016}
9vJRopau0g0;Nonprofits & Activism; {'29': 0.0029, '28': 0.0}
55HERZnmHT8;Nonprofits & Activism; {'29': 0.0189, '27': 0.0014}
4-079YIasck;Nonprofits & Activism; {'29': 0.0016, '27': 0.0001, '22': 0.0, '28': 0.0}
lLY76-NBBxQ;Nonprofits & Activism; {'29': 0.1458}
VaRO5-V1uK0;Nonprofits & Activism; {'29': 0.0244, '27': 0.0011, '24': 0.0002, '22': 0.0002}
bC0hlK7WGcM;Nonprofits & Activism; {'29': 0.1407, '24': 0.0074}
L9UIF852Boo;Nonprofits & Activism; {'29': 0.0031, '28': 0.0002}
uU6o2_UFSEY;Science & Technology; {'29': 0.0656, '28': 0.0125}
H2rG4Dg6xyI;Nonprofits & Activism; {'29': 0.0265, '27': 0.0026}
KDQrMoksJ4Q;Nonprofits & Activism; {'29': 0.0361, '27': 0.0004, '28': 0.0004}
ycB29FkoylE;Nonprofits & Activism; {'29': 0.0077}
xnLoToJVQH4;Nonprofits & Activism; {'29': 0.0189, '28': 0.0001}
LNHBMFCzznE;Nonprofits & Activism; {'29': 0.0127, '27': 0.0006, '22': 0.0002}
7XFLTDQ4JMk;Nonprofits & Activism; {'29': 0.9999}
pi4JOlMSWjo;Nonprofits & Activism; {'29': 0.0166, '27': 0.0023, '28': 0.0014}
7c5t6FkvUG0;Nonprofits & Activism; {'29': 0.0999, '27': 0.0111}
RlSwsE22nX0;Nonprofits & Activism; {'29': 0.0157}
NHHPNMIK-fY;Education; {'29': 0.0562, '27': 0.0062}
TFbv757kup4;Nonprofits & Activism; {'29': 0.0047, '22': 0.0005, '24': 0.0001, '27': 0.0}
v1ojZKWfShQ;Nonprofits & Activism; {'29': 0.036, '22': 0.004}
vj-91dMvQQo;Nonprofits & Activism; {'29': 0.9999}
y2X7c9TUQJ8;Nonprofits & Activism; {'29': 0.9999}
vo_lZiytsMw;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
H6n3iNh4XLI;Nonprofits & Activism; {'29': 0.9999}
jOJLx4Du3vU;Nonprofits & Activism; {'29': 0.0015, '25': 0.0001, '27': 0.0, '26': 0.0}
WQvfNG9bkz0;Nonprofits & Activism; {'27': 0.0166, '29': 0.0888, '28': 0.0055}
iuel1AFKSDo;Nonprofits & Activism; {'27': 0.0111, '29': 0.0833, '28': 0.0166}
hnnv5EO1Xfw;Nonprofits & Activism; {'27': 0.0333, '29': 0.0666, '28': 0.0111}
GrxJ-9_qXeM;Nonprofits & Activism; {'29': 0.0176, '27': 0.0001}
fBQnQTkhsq4;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
qS7mBbXxJYA;Nonprofits & Activism; {'29': 0.0214}
36m1o-tM05g;Nonprofits & Activism; {'29': 0.0043, '24': 0.0, '22': 0.0001}
lo0X2ZdElQ4;Nonprofits & Activism; {'29': 0.0262}
-wkdH_wluhw;Nonprofits & Activism; {'29': 0.8499, '28': 0.15}
3W7GNMXhMDo;Nonprofits & Activism; {'29': 0.75, '22': 0.1, '28': 0.15}
Jb_1IklnhaU;Nonprofits & Activism; {'29': 0.0937}
28Ip-STEPKU;Nonprofits & Activism; {'29': 0.0624}
OKIyDMaxh4w;Nonprofits & Activism; {'29': 0.1481}
ihp1_szQlM8;Nonprofits & Activism; {'29': 0.9999}
M2NHvpM9PWU;Education; {'29': 0.7, '26': 0.1, '25': 0.1, '27': 0.1}
k1luKAS_Xcg;News & Politics; {'29': 0.2624, '26': 0.0375, '27': 0.0375, '22': 0.0375}
B1LRbCpawaw;Nonprofits & Activism; {'29': 0.2888, '26': 0.0277, '25': 0.0111, '27': 0.0055}
nM-ySWyID9o;Nonprofits & Activism; {'29': 0.1111}
gn4bvjMh4vc;Nonprofits & Activism; {'29': 0.0216, '28': 0.0022, '27': 0.0038}
xbagFzcyNiM;Nonprofits & Activism; {'29': 0.0204}
nnYhZCUYOxs;Nonprofits & Activism; {'29': 0.9999}
cef35Fk7YD8;Nonprofits & Activism; {'29': 0.0375, '22': 0.0024}
j-Gil9l8yIE;Nonprofits & Activism; {'29': 0.9999}
NNHAgXy5dxQ;Nonprofits & Activism; {'29': 0.9, '22': 0.1}
uBgRo9tnv-I;Nonprofits & Activism; {'29': 0.9999}
EluxCgnQVzg;Nonprofits & Activism; {'29': 0.9999}
bRtBHF-WPpM;Nonprofits & Activism; {'29': 0.0098, '22': 0.0007, '27': 0.0004}
xp0O2vi8DX4;Nonprofits & Activism; {'29': 0.0151, '22': 0.0004}
MY5SatbZMAo;Nonprofits & Activism; {'26': 0.0009, '29': 0.0107, '22': 0.0004}
S8yWLA--S8Q;Nonprofits & Activism; {'29': 0.9, '22': 0.1}
Fo3e_0ITVjo;Nonprofits & Activism; {'29': 0.0999, '27': 0.0055, '22': 0.0055}
6MBaFL7sCb8;Nonprofits & Activism; {'29': 0.0277}
eXw9o4j43iY;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
ddek3gQVt9Y;Nonprofits & Activism; {'29': 0.9, '22': 0.1}
c_X_sPNUDes;Nonprofits & Activism; {'29': 0.1481}
G2AMSOAvX2s;Nonprofits & Activism; {'29': 0.3249, '27': 0.05}
esPRsT-lmw8;Nonprofits & Activism; {'28': 0.0011, '29': 0.0066, '26': 0.0003, '27': 0.0}
whyUPLJZljE;Nonprofits & Activism; {'29': 0.0624}
XdT4DIiX7Nk;Nonprofits & Activism; {'28': 0.2, '29': 0.7999}
fWCocjh5aK0;Nonprofits & Activism; {'28': 0.3, '29': 0.7}
tlb2qzEbvns;Nonprofits & Activism; {'29': 0.7999, '28': 0.1, '27': 0.1}
Dvh3JhsrQ0w;Education; {'29': 0.8499, '27': 0.1, '28': 0.05}
v_ONFix_e4k;Nonprofits & Activism; {'29': 0.0439, '27': 0.0063, '28': 0.0055}
