Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.3, '20': 0.0375, '24': 0.0125, '2': 0.025}
7LuTGEtWKf0;Comedy; {'23': 0.3374, '24': 0.0125, '1': 0.0125, '2': 0.0125}
GLw3TPRtegg;Comedy; {'23': 0.0484, '24': 0.0062, '20': 0.0062, '10': 0.0015}
QZGlhkeehZ4;Comedy; {'23': 0.0136, '24': 0.0021, '22': 0.0015, '20': 0.0001}
QrH28LslpWM;Comedy; {'23': 0.1055, '24': 0.0055}
HR4YBpLYb-8;Comedy; {'23': 0.7, '22': 0.2, '24': 0.1}
3lOX7K8_cHM;Comedy; {'23': 0.4, '20': 0.1, '1': 0.1, '24': 0.2, '2': 0.1, '22': 0.1}
HHI8KAzlCKo;Comedy; {'23': 0.9, '24': 0.1}
ZDfAUECD_tY;Entertainment; {'23': 0.9999}
S8gCAIABPM0;Comedy; {'23': 0.7999, '24': 0.2}
QrXm2U8dfOo;Comedy; {'20': 0.0001, '23': 0.0029, '2': 0.0004, '22': 0.0005, '24': 0.0002, '1': 0.0003, '10': 0.0}
0X3DRFa11dk;Comedy; {'23': 0.6, '24': 0.3, '22': 0.1}
5AObrH_wWBE;Comedy; {'23': 0.6, '28': 0.1, '24': 0.1, '22': 0.1, '1': 0.1}
gfkfu5bWIlc;Comedy; {'23': 0.7999, '20': 0.1, '2': 0.1}
1U7M1mEMvsU;Film & Animation; {'23': 0.0113, '20': 0.0003, '2': 0.0015, '24': 0.0015, '22': 0.0007}
TTSEDCpMI90;Comedy; {'23': 0.0888, '22': 0.0055, '24': 0.0055, '15': 0.0055, '10': 0.0055}
159idhAvpgU;Comedy; {'23': 0.0999, '24': 0.0111}
EskpU46thdg;Comedy; {'23': 0.0499, '20': 0.002, '24': 0.0041, '10': 0.002, '2': 0.002, '22': 0.002}
TxfcHGQE6xI;Comedy; {'23': 0.0248, '24': 0.0048, '10': 0.004, '2': 0.004, '1': 0.0024}
JqDD6XVLj2k;Comedy; {'23': 0.9, '24': 0.1}
SatDmzzuYqU;Comedy; {'23': 0.1055, '10': 0.0055}
b76ESyLsSlc;Comedy; {'23': 0.0169, '10': 0.0003, '2': 0.0003, '22': 0.0003, '24': 0.0023}
25RVrrogfyg;Comedy; {'23': 0.9, '22': 0.1}
axtgFRvTEwM;Comedy; {'23': 0.0888, '24': 0.0166, '10': 0.0055}
ZlraBkzeit4;Comedy; {'24': 0.0111, '23': 0.0888, '10': 0.0055, '2': 0.0055}
S5FaiokJEss;Comedy; {'23': 0.1055, '1': 0.0055}
Bz4eYfZ3t3k;Entertainment; {'23': 0.0833, '24': 0.0222, '20': 0.0055}
nQIplI1FocU;Gaming; {'23': 0.0037, '20': 0.0004, '2': 0.0005, '10': 0.0001, '24': 0.0003, '22': 0.0, '25': 0.0, '1': 0.0, '27': 0.0}
aK44gov4ELc;Comedy; {'23': 0.0091, '2': 0.0012, '20': 0.001, '24': 0.0006}
Pg1QPuXBnMw;Gaming; {'20': 0.1, '23': 0.6499, '22': 0.05, '10': 0.15, '1': 0.05}
2tTOJvw6EQA;Comedy; {'23': 0.0256, '20': 0.004, '22': 0.004, '24': 0.0024, '1': 0.0016, '2': 0.0024}
PdFB7q89_3U;Comedy; {'23': 0.4, '24': 0.5, '10': 0.1}
Umm0kxOx3FI;Comedy; {'23': 0.0833, '24': 0.0111, '10': 0.0111, '2': 0.0055}
E-BZmD0OfZg;Comedy; {'23': 0.7, '24': 0.2, '10': 0.1}
E3te2FP6AWg;Comedy; {'23': 0.0043, '2': 0.0006, '24': 0.0007, '1': 0.0003, '22': 0.0, '20': 0.0001, '28': 0.0}
q1Km6E_0sLg;Comedy; {'1': 0.1, '23': 0.3, '24': 0.4, '22': 0.2}
1ukD56qosRA;Comedy; {'23': 0.036, '24': 0.0152, '22': 0.0032, '1': 0.0016}
kqoYPyHxPnE;Comedy; {'23': 0.0479, '20': 0.0062, '2': 0.0041, '24': 0.0041}
xfNplafuxz0;Comedy; {'23': 0.0503, '24': 0.0055, '20': 0.0063, '2': 0.0016}
-LGLBZxEd_A;Comedy; {'23': 0.0666, '20': 0.0111, '24': 0.0111, '2': 0.0055, '22': 0.0166}
NSUjXhWuGSc;Comedy; {'24': 0.0208, '23': 0.0354, '22': 0.0041, '25': 0.002}
0wu_HivF83o;Entertainment; {'24': 0.9, '22': 0.1}
OJUcpWpJxUQ;Entertainment; {'22': 0.1, '24': 0.9}
MpcPxMCDA2w;Entertainment; {'24': 0.9, '23': 0.1}
ur8BzzNxFtE;Entertainment; {'24': 0.6, '23': 0.2, '10': 0.1, '22': 0.1}
bcY6hWJcky8;Comedy; {'23': 0.0453, '24': 0.0078, '22': 0.0078, '15': 0.0015}
DpJQMQ_47h4;Comedy; {'23': 0.3, '24': 0.4, '10': 0.1, '22': 0.1, '15': 0.1}
