Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.6, '20': 0.075, '24': 0.025, '2': 0.05}
7LuTGEtWKf0;Comedy; {'23': 0.6749, '24': 0.025, '1': 0.025, '2': 0.025}
GLw3TPRtegg;Comedy; {'23': 0.1937, '24': 0.025, '20': 0.025, '10': 0.0062}
QZGlhkeehZ4;Comedy; {'23': 0.1093, '24': 0.0171, '22': 0.0125, '20': 0.0015}
QrH28LslpWM;Comedy; {'23': 0.3166, '24': 0.0166}
HR4YBpLYb-8;Comedy; {'23': 0.7, '22': 0.2, '24': 0.1}
3lOX7K8_cHM;Comedy; {'23': 0.4, '20': 0.1, '1': 0.1, '24': 0.2, '2': 0.1, '22': 0.1}
HHI8KAzlCKo;Comedy; {'23': 0.9, '24': 0.1}
ZDfAUECD_tY;Entertainment; {'23': 0.9999}
S8gCAIABPM0;Comedy; {'23': 0.7999, '24': 0.2}
QrXm2U8dfOo;Comedy; {'20': 0.0017, '23': 0.0439, '2': 0.0066, '22': 0.0084, '24': 0.0044, '1': 0.0053, '10': 0.0004}
0X3DRFa11dk;Comedy; {'23': 0.6, '24': 0.3, '22': 0.1}
5AObrH_wWBE;Comedy; {'23': 0.6, '28': 0.1, '24': 0.1, '22': 0.1, '1': 0.1}
gfkfu5bWIlc;Comedy; {'23': 0.7999, '20': 0.1, '2': 0.1}
1U7M1mEMvsU;Film & Animation; {'23': 0.0906, '20': 0.0031, '2': 0.0124, '24': 0.0124, '22': 0.0062}
TTSEDCpMI90;Comedy; {'23': 0.2666, '22': 0.0166, '24': 0.0166, '15': 0.0166, '10': 0.0166}
159idhAvpgU;Comedy; {'23': 0.3, '24': 0.0333}
EskpU46thdg;Comedy; {'23': 0.1999, '20': 0.0083, '24': 0.0166, '10': 0.0083, '2': 0.0083, '22': 0.0083}
TxfcHGQE6xI;Comedy; {'23': 0.124, '24': 0.024, '10': 0.02, '2': 0.02, '1': 0.012}
JqDD6XVLj2k;Comedy; {'23': 0.9, '24': 0.1}
SatDmzzuYqU;Comedy; {'23': 0.3166, '10': 0.0166}
b76ESyLsSlc;Comedy; {'23': 0.119, '10': 0.0023, '2': 0.0023, '22': 0.0023, '24': 0.0166}
25RVrrogfyg;Comedy; {'23': 0.9, '22': 0.1}
axtgFRvTEwM;Comedy; {'23': 0.2666, '24': 0.0499, '10': 0.0166}
ZlraBkzeit4;Comedy; {'24': 0.0333, '23': 0.2666, '10': 0.0166, '2': 0.0166}
S5FaiokJEss;Comedy; {'23': 0.3166, '1': 0.0166}
Bz4eYfZ3t3k;Entertainment; {'23': 0.25, '24': 0.0666, '20': 0.0166}
nQIplI1FocU;Gaming; {'23': 0.0527, '20': 0.0065, '2': 0.0076, '10': 0.0027, '24': 0.0049, '22': 0.0005, '25': 0.0005, '1': 0.0005, '27': 0.0005}
aK44gov4ELc;Comedy; {'23': 0.091, '2': 0.012, '20': 0.0109, '24': 0.006}
