Id;Genre;Probabilities
bOuEJf8Dr_4;Nonprofits & Activism; {'29': 0.9999999999999999}
A5dE25ANU0k;Nonprofits & Activism; {'29': 0.9999}
f0WCb23KPEw;Nonprofits & Activism; {'29': 1.8, '27': 0.1666, '28': 0.1999}
-KysuBl2m_w;Nonprofits & Activism; {'29': 1.6666}
SemHh0n19LA;Nonprofits & Activism; {'29': 0.9999}
LnJwH_PZXnM;Nonprofits & Activism; {'29': 1.1937, '22': 0.1187}
w-HYZv6HzAs;People & Blogs; {'29': 1.3, '27': 0.06, '26': 0.04}
9vJRopau0g0;Nonprofits & Activism; {'29': 1.1769, '28': 0.0538}
55HERZnmHT8;Nonprofits & Activism; {'29': 0.9285, '27': 0.0714}
4-079YIasck;Nonprofits & Activism; {'29': 1.0559, '27': 0.084, '22': 0.008, '28': 0.012}
lLY76-NBBxQ;Nonprofits & Activism; {'29': 1.3333}
VaRO5-V1uK0;Nonprofits & Activism; {'29': 1.2, '27': 0.0571, '24': 0.0142, '22': 0.0142}
bC0hlK7WGcM;Nonprofits & Activism; {'29': 1.2666, '24': 0.0666}
L9UIF852Boo;Nonprofits & Activism; {'29': 1.0333, '28': 0.0777}
uU6o2_UFSEY;Science & Technology; {'29': 1.0499, '28': 0.2}
H2rG4Dg6xyI;Nonprofits & Activism; {'29': 1.3, '27': 0.1285}
KDQrMoksJ4Q;Nonprofits & Activism; {'29': 1.3, '27': 0.0166, '28': 0.0166}
ycB29FkoylE;Nonprofits & Activism; {'29': 1.7333}
xnLoToJVQH4;Nonprofits & Activism; {'29': 1.89, '28': 0.01}
LNHBMFCzznE;Nonprofits & Activism; {'29': 1.0333, '27': 0.0555, '22': 0.0222}
7XFLTDQ4JMk;Nonprofits & Activism; {'29': 0.9999}
pi4JOlMSWjo;Nonprofits & Activism; {'29': 0.8142, '27': 0.1142, '28': 0.0714}
7c5t6FkvUG0;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
RlSwsE22nX0;Nonprofits & Activism; {'29': 1.2727}
NHHPNMIK-fY;Education; {'29': 0.9, '27': 0.1}
TFbv757kup4;Nonprofits & Activism; {'29': 0.9307, '22': 0.1, '24': 0.0384, '27': 0.0076}
v1ojZKWfShQ;Nonprofits & Activism; {'29': 0.9, '22': 0.1}
vj-91dMvQQo;Nonprofits & Activism; {'29': 0.9999}
y2X7c9TUQJ8;Nonprofits & Activism; {'29': 0.9999}
vo_lZiytsMw;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
H6n3iNh4XLI;Nonprofits & Activism; {'29': 0.9999}
jOJLx4Du3vU;Nonprofits & Activism; {'29': 1.1296, '25': 0.1, '27': 0.0148, '26': 0.0148}
WQvfNG9bkz0;Nonprofits & Activism; {'27': 0.15, '29': 0.7999, '28': 0.05}
iuel1AFKSDo;Nonprofits & Activism; {'27': 0.1, '29': 0.75, '28': 0.15}
hnnv5EO1Xfw;Nonprofits & Activism; {'27': 0.3, '29': 0.6, '28': 0.1}
GrxJ-9_qXeM;Nonprofits & Activism; {'29': 1.4333, '27': 0.0111}
fBQnQTkhsq4;Nonprofits & Activism; {'29': 0.9, '27': 0.1}
qS7mBbXxJYA;Nonprofits & Activism; {'29': 1.3749}
36m1o-tM05g;Nonprofits & Activism; {'29': 1.0639, '24': 0.02, '22': 0.036}
lo0X2ZdElQ4;Nonprofits & Activism; {'29': 1.2857}
-wkdH_wluhw;Nonprofits & Activism; {'29': 0.8499, '28': 0.15}
3W7GNMXhMDo;Nonprofits & Activism; {'29': 0.75, '22': 0.1, '28': 0.15}
Jb_1IklnhaU;Nonprofits & Activism; {'29': 1.4999}
28Ip-STEPKU;Nonprofits & Activism; {'29': 0.9999}
OKIyDMaxh4w;Nonprofits & Activism; {'29': 1.3333}
ihp1_szQlM8;Nonprofits & Activism; {'29': 0.9999}
M2NHvpM9PWU;Education; {'29': 0.7, '26': 0.1, '25': 0.1, '27': 0.1}
k1luKAS_Xcg;News & Politics; {'29': 1.0499, '26': 0.15, '27': 0.15, '22': 0.15}
B1LRbCpawaw;Nonprofits & Activism; {'29': 1.7333, '26': 0.1666, '25': 0.0666, '27': 0.0333}
nM-ySWyID9o;Nonprofits & Activism; {'29': 0.9999}
gn4bvjMh4vc;Nonprofits & Activism; {'29': 0.7799, '28': 0.08, '27': 0.1399}
xbagFzcyNiM;Nonprofits & Activism; {'29': 0.9999}
nnYhZCUYOxs;Nonprofits & Activism; {'29': 0.9999}
cef35Fk7YD8;Nonprofits & Activism; {'29': 0.9399, '22': 0.06}
j-Gil9l8yIE;Nonprofits & Activism; {'29': 0.9999}
NNHAgXy5dxQ;Nonprofits & Activism; {'29': 0.9, '22': 0.1}
