Id;Genre;Probabilities
NKiMoM0dO1Q;Comedy; {'23': 0.075, '20': 0.0093, '24': 0.0031, '2': 0.0062}
7LuTGEtWKf0;Comedy; {'23': 0.0843, '24': 0.0031, '1': 0.0031, '2': 0.0031}
GLw3TPRtegg;Comedy; {'23': 0.003, '24': 0.0003, '20': 0.0003, '10': 0.0}
QZGlhkeehZ4;Comedy; {'23': 0.0002, '24': 0.0, '22': 0.0, '20': 0.0}
QrH28LslpWM;Comedy; {'23': 0.0117, '24': 0.0005}
HR4YBpLYb-8;Comedy; {'23': 0.7, '22': 0.2, '24': 0.1}
3lOX7K8_cHM;Comedy; {'23': 0.4, '20': 0.1, '1': 0.1, '24': 0.2, '2': 0.1, '22': 0.1}
HHI8KAzlCKo;Comedy; {'23': 0.9, '24': 0.1}
ZDfAUECD_tY;Entertainment; {'23': 0.9999}
S8gCAIABPM0;Comedy; {'23': 0.7999, '24': 0.2}
QrXm2U8dfOo;Comedy; {'20': 0.0, '23': 0.0, '2': 0.0, '22': 0.0, '24': 0.0, '1': 0.0, '10': 0.0}
0X3DRFa11dk;Comedy; {'23': 0.6, '24': 0.3, '22': 0.1}
5AObrH_wWBE;Comedy; {'23': 0.6, '28': 0.1, '24': 0.1, '22': 0.1, '1': 0.1}
gfkfu5bWIlc;Comedy; {'23': 0.7999, '20': 0.1, '2': 0.1}
1U7M1mEMvsU;Film & Animation; {'23': 0.0001, '20': 0.0, '2': 0.0, '24': 0.0, '22': 0.0}
TTSEDCpMI90;Comedy; {'23': 0.0098, '22': 0.0005, '24': 0.0005, '15': 0.0005, '10': 0.0005}
159idhAvpgU;Comedy; {'23': 0.0111, '24': 0.0012}
EskpU46thdg;Comedy; {'23': 0.0031, '20': 0.0001, '24': 0.0002, '10': 0.0001, '2': 0.0001, '22': 0.0001}
TxfcHGQE6xI;Comedy; {'23': 0.0009, '24': 0.0001, '10': 0.0001, '2': 0.0001, '1': 0.0}
JqDD6XVLj2k;Comedy; {'23': 0.9, '24': 0.1}
SatDmzzuYqU;Comedy; {'23': 0.0117, '10': 0.0005}
b76ESyLsSlc;Comedy; {'23': 0.0003, '10': 0.0, '2': 0.0, '22': 0.0, '24': 0.0}
25RVrrogfyg;Comedy; {'23': 0.9, '22': 0.1}
axtgFRvTEwM;Comedy; {'23': 0.0098, '24': 0.0018, '10': 0.0005}
