Source,Target,{weight}
NKiMoM0dO1Q,3pXUWufkpoY,{6}
NKiMoM0dO1Q,_GSZIchOt0o,{6}
NKiMoM0dO1Q,13krcSnemwE,{6}
3pXUWufkpoY,lQBC9re6t8o,{6}
3pXUWufkpoY,uHQAdM3YUmU,{6}
3pXUWufkpoY,1U7M1mEMvsU,{6}
3pXUWufkpoY,ucdcjB2FT4U,{6}
3pXUWufkpoY,u8AILJeugrs,{6}
3pXUWufkpoY,VZU3BDBcnpg,{6}
3pXUWufkpoY,SatDmzzuYqU,{6}
3pXUWufkpoY,KZbC8IVWFNM,{6}
3pXUWufkpoY,iXzLvgnf9g4,{6}
3pXUWufkpoY,-EM_KrOux_o,{6}
ucdcjB2FT4U,E3te2FP6AWg,{6}
ucdcjB2FT4U,JOTlKw3fzqE,{6}
ucdcjB2FT4U,s1VkPy8y7gw,{6}
E3te2FP6AWg,1U7M1mEMvsU,{6}
E3te2FP6AWg,aK44gov4ELc,{6}
E3te2FP6AWg,nQIplI1FocU,{6}
E3te2FP6AWg,Hygf6duz30M,{6}
E3te2FP6AWg,hVsZZp3wccM,{6}
E3te2FP6AWg,xfNplafuxz0,{6}
E3te2FP6AWg,2tTOJvw6EQA,{6}
E3te2FP6AWg,QrXm2U8dfOo,{6}
E3te2FP6AWg,C2XASSGxgWI,{6}
E3te2FP6AWg,KZbC8IVWFNM,{6}
E3te2FP6AWg,thTd14ptEqU,{6}
E3te2FP6AWg,uWiGTmU3hGw,{6}
E3te2FP6AWg,vXk0bYaTeio,{6}
1U7M1mEMvsU,KZbC8IVWFNM,{6}
1U7M1mEMvsU,CQAOrnIn6Kk,{6}
1U7M1mEMvsU,C2XASSGxgWI,{6}
1U7M1mEMvsU,0FVqjhi1qqM,{6}
1U7M1mEMvsU,hVsZZp3wccM,{6}
1U7M1mEMvsU,E3te2FP6AWg,{6}
KZbC8IVWFNM,xkj3ms6B4To,{6}
KZbC8IVWFNM,1JNEE1cQVM0,{6}
KZbC8IVWFNM,TXAFjhxTafg,{6}
KZbC8IVWFNM,hVsZZp3wccM,{6}
KZbC8IVWFNM,0FVqjhi1qqM,{6}
KZbC8IVWFNM,nQIplI1FocU,{6}
KZbC8IVWFNM,fxuQ3w5TpRQ,{6}
KZbC8IVWFNM,osjUBFesIhA,{6}
KZbC8IVWFNM,TxfcHGQE6xI,{6}
KZbC8IVWFNM,u8AILJeugrs,{6}
KZbC8IVWFNM,thTd14ptEqU,{6}
KZbC8IVWFNM,_MO5YfIKiGg,{6}
KZbC8IVWFNM,ofOqUMeEwu8,{6}
KZbC8IVWFNM,dsr2kSIhxl8,{6}
KZbC8IVWFNM,s1VkPy8y7gw,{6}
KZbC8IVWFNM,YBpQqSiqlFg,{6}
KZbC8IVWFNM,LnGWlSm2PJY,{6}
CQAOrnIn6Kk,s1VkPy8y7gw,{6}
CQAOrnIn6Kk,Q961dViRof4,{6}
CQAOrnIn6Kk,RZqqsy4WCdc,{6}
C2XASSGxgWI,E3te2FP6AWg,{6}
C2XASSGxgWI,2tTOJvw6EQA,{6}
C2XASSGxgWI,aK44gov4ELc,{6}
C2XASSGxgWI,CQAOrnIn6Kk,{6}
C2XASSGxgWI,RZqqsy4WCdc,{6}
C2XASSGxgWI,ARoCpelSF70,{6}
C2XASSGxgWI,osjUBFesIhA,{6}
C2XASSGxgWI,z1omWTgwtuQ,{6}
C2XASSGxgWI,hVsZZp3wccM,{6}
C2XASSGxgWI,zQ6wsYxBapk,{6}
aK44gov4ELc,hVsZZp3wccM,{6}
aK44gov4ELc,VhMpWj6rlp8,{6}
aK44gov4ELc,ssK20zswczM,{6}
aK44gov4ELc,E3te2FP6AWg,{6}
hVsZZp3wccM,bcY6hWJcky8,{6}
hVsZZp3wccM,rPjcpMJ5TNU,{6}
hVsZZp3wccM,FPSqO_KKhaE,{6}
hVsZZp3wccM,QrXm2U8dfOo,{6}
hVsZZp3wccM,EPkmlhg8r3k,{6}
hVsZZp3wccM,z1omWTgwtuQ,{6}
VhMpWj6rlp8,0xcF5QIj3Rk,{6}
VhMpWj6rlp8,osjUBFesIhA,{6}
VhMpWj6rlp8,C2XASSGxgWI,{6}
VhMpWj6rlp8,nQIplI1FocU,{6}
nQIplI1FocU,aK44gov4ELc,{6}
nQIplI1FocU,hVsZZp3wccM,{6}
nQIplI1FocU,CQAOrnIn6Kk,{6}
nQIplI1FocU,2tTOJvw6EQA,{6}
nQIplI1FocU,xfNplafuxz0,{6}
nQIplI1FocU,E3te2FP6AWg,{6}
nQIplI1FocU,-LGLBZxEd_A,{6}
nQIplI1FocU,ZDfAUECD_tY,{6}
nQIplI1FocU,JC7N5Gl_tdg,{6}
nQIplI1FocU,KZbC8IVWFNM,{6}
nQIplI1FocU,u8AILJeugrs,{6}
nQIplI1FocU,Q961dViRof4,{6}
JOTlKw3fzqE,3cX8KLOb0w8,{6}
JOTlKw3fzqE,n7o75HsNDOE,{6}
JOTlKw3fzqE,3pXUWufkpoY,{6}
3cX8KLOb0w8,KZbC8IVWFNM,{6}
3cX8KLOb0w8,aK44gov4ELc,{6}
3cX8KLOb0w8,b76ESyLsSlc,{6}
n7o75HsNDOE,J4YvI-03X80,{6}
n7o75HsNDOE,xz2BT6ErIWc,{6}
n7o75HsNDOE,JOTlKw3fzqE,{6}
J4YvI-03X80,FPSqO_KKhaE,{6}
J4YvI-03X80,KZbC8IVWFNM,{6}
J4YvI-03X80,iZTDQMlndkw,{6}
J4YvI-03X80,JOTlKw3fzqE,{6}
J4YvI-03X80,kQbrn4pPS3c,{6}
s1VkPy8y7gw,VhMpWj6rlp8,{6}
s1VkPy8y7gw,E3te2FP6AWg,{6}
s1VkPy8y7gw,KZbC8IVWFNM,{6}
s1VkPy8y7gw,QrH28LslpWM,{6}
s1VkPy8y7gw,thTd14ptEqU,{6}
s1VkPy8y7gw,xkj3ms6B4To,{6}
s1VkPy8y7gw,fxuQ3w5TpRQ,{6}
osjUBFesIhA,QZGlhkeehZ4,{6}
osjUBFesIhA,b76ESyLsSlc,{6}
osjUBFesIhA,hVsZZp3wccM,{6}
Hygf6duz30M,h0ITsS6vPgI,{6}
Hygf6duz30M,VhMpWj6rlp8,{6}
Hygf6duz30M,Yjq1m84FFVg,{6}
xfNplafuxz0,vXk0bYaTeio,{6}
xfNplafuxz0,nQIplI1FocU,{6}
xfNplafuxz0,0FVqjhi1qqM,{6}
TXAFjhxTafg,cO5Vpg9PZ1M,{6}
TXAFjhxTafg,nYfbM2awf6U,{6}
TXAFjhxTafg,QrXm2U8dfOo,{6}
u8AILJeugrs,WIkO1oqd7Rc,{6}
u8AILJeugrs,C2XASSGxgWI,{6}
u8AILJeugrs,KZbC8IVWFNM,{6}
WIkO1oqd7Rc,nQIplI1FocU,{6}
WIkO1oqd7Rc,C2XASSGxgWI,{6}
WIkO1oqd7Rc,UJ090pEwfPg,{6}
2tTOJvw6EQA,4xesOjHPz2Q,{6}
2tTOJvw6EQA,C2XASSGxgWI,{6}
2tTOJvw6EQA,35YHvoNXxAA,{6}
UJ090pEwfPg,u8AILJeugrs,{6}
UJ090pEwfPg,dyEYoNoMJdA,{6}
UJ090pEwfPg,WIkO1oqd7Rc,{6}
RZqqsy4WCdc,ssK20zswczM,{6}
RZqqsy4WCdc,thTd14ptEqU,{6}
RZqqsy4WCdc,WJNvQdxc0b4,{6}
thTd14ptEqU,UaSQwtCs2vA,{6}
thTd14ptEqU,b76ESyLsSlc,{6}
thTd14ptEqU,KZbC8IVWFNM,{6}
thTd14ptEqU,QZGlhkeehZ4,{6}
thTd14ptEqU,u8AILJeugrs,{6}
thTd14ptEqU,zw9yQ_gPDd4,{6}
QrXm2U8dfOo,z1omWTgwtuQ,{6}
QrXm2U8dfOo,1U7M1mEMvsU,{6}
QrXm2U8dfOo,s1VkPy8y7gw,{6}
QrXm2U8dfOo,Q961dViRof4,{6}
QrXm2U8dfOo,fUKI-8fVMTk,{6}
QrXm2U8dfOo,CQAOrnIn6Kk,{6}
QrXm2U8dfOo,aK44gov4ELc,{6}
QrXm2U8dfOo,hVsZZp3wccM,{6}
QrXm2U8dfOo,cokPLPlhu5I,{6}
QrXm2U8dfOo,TXAFjhxTafg,{6}
QrXm2U8dfOo,ZDfAUECD_tY,{6}
QrXm2U8dfOo,bcY6hWJcky8,{6}
QrXm2U8dfOo,u8AILJeugrs,{6}
QrXm2U8dfOo,E3te2FP6AWg,{6}
QrXm2U8dfOo,C2XASSGxgWI,{6}
QrXm2U8dfOo,W9enZeJu2pA,{6}
QrXm2U8dfOo,thTd14ptEqU,{6}
FPSqO_KKhaE,ZlraBkzeit4,{6}
FPSqO_KKhaE,z1omWTgwtuQ,{6}
FPSqO_KKhaE,Lnlz6WGQ7Ec,{6}
FPSqO_KKhaE,h7GqSuYqI3w,{6}
FPSqO_KKhaE,J4YvI-03X80,{6}
FPSqO_KKhaE,hVsZZp3wccM,{6}
FPSqO_KKhaE,JOTlKw3fzqE,{6}
FPSqO_KKhaE,5TqrwSLCsaA,{6}
FPSqO_KKhaE,kQbrn4pPS3c,{6}
0FVqjhi1qqM,TxfcHGQE6xI,{6}
0FVqjhi1qqM,Ota4KXGdkm4,{6}
0FVqjhi1qqM,hVsZZp3wccM,{6}
0FVqjhi1qqM,ofOqUMeEwu8,{6}
0FVqjhi1qqM,hRZhQdNEtg8,{6}
0FVqjhi1qqM,KZbC8IVWFNM,{6}
0FVqjhi1qqM,thTd14ptEqU,{6}
0FVqjhi1qqM,QrXm2U8dfOo,{6}
TxfcHGQE6xI,KZbC8IVWFNM,{6}
TxfcHGQE6xI,1JNEE1cQVM0,{6}
TxfcHGQE6xI,Ota4KXGdkm4,{6}
TxfcHGQE6xI,E3te2FP6AWg,{6}
TxfcHGQE6xI,s1VkPy8y7gw,{6}
-LGLBZxEd_A,QrXm2U8dfOo,{6}
-LGLBZxEd_A,nQIplI1FocU,{6}
-LGLBZxEd_A,KZbC8IVWFNM,{6}
ofOqUMeEwu8,O_kYuxP2pLA,{6}
ofOqUMeEwu8,oR7v-enA428,{6}
ofOqUMeEwu8,qzv6EhE7Cbo,{6}
ofOqUMeEwu8,wbpciGnQnOA,{6}
ofOqUMeEwu8,ci6l_WHjl6g,{6}
hRZhQdNEtg8,9E15cpAXlPk,{6}
hRZhQdNEtg8,hXo0h107LTo,{6}
hRZhQdNEtg8,ixsM32XdiUY,{6}
z1omWTgwtuQ,WIkO1oqd7Rc,{6}
z1omWTgwtuQ,dJomJ5V9vQc,{6}
z1omWTgwtuQ,nQIplI1FocU,{6}
EPkmlhg8r3k,GSLUIW7OnIQ,{6}
EPkmlhg8r3k,hVsZZp3wccM,{6}
EPkmlhg8r3k,bcY6hWJcky8,{6}
ZlraBkzeit4,S5FaiokJEss,{6}
ZlraBkzeit4,1U7M1mEMvsU,{6}
ZlraBkzeit4,TTSEDCpMI90,{6}
Lnlz6WGQ7Ec,TXAFjhxTafg,{6}
Lnlz6WGQ7Ec,hVsZZp3wccM,{6}
Lnlz6WGQ7Ec,gfkfu5bWIlc,{6}
_GSZIchOt0o,FPSqO_KKhaE,{6}
_GSZIchOt0o,-ddVcTFS87A,{6}
_GSZIchOt0o,3pXUWufkpoY,{6}
h7GqSuYqI3w,0FVqjhi1qqM,{6}
h7GqSuYqI3w,3pXUWufkpoY,{6}
h7GqSuYqI3w,VHOOh0EOx7k,{6}
SatDmzzuYqU,S5FaiokJEss,{6}
SatDmzzuYqU,f4MngoNzaUc,{6}
SatDmzzuYqU,lWjenSGfFWE,{6}
VHOOh0EOx7k,QrXm2U8dfOo,{6}
VHOOh0EOx7k,Gm3T06Au4tE,{6}
VHOOh0EOx7k,_GSZIchOt0o,{6}
5TqrwSLCsaA,aK44gov4ELc,{6}
5TqrwSLCsaA,VhMpWj6rlp8,{6}
5TqrwSLCsaA,FPSqO_KKhaE,{6}
kQbrn4pPS3c,KZbC8IVWFNM,{6}
kQbrn4pPS3c,VpTP2gqIUfY,{6}
kQbrn4pPS3c,C2XASSGxgWI,{6}
fxuQ3w5TpRQ,pmhfBK5oiOw,{6}
fxuQ3w5TpRQ,aK44gov4ELc,{6}
fxuQ3w5TpRQ,fJxG098afnw,{6}
VpTP2gqIUfY,hVsZZp3wccM,{6}
VpTP2gqIUfY,YBpQqSiqlFg,{6}
VpTP2gqIUfY,EtQlL4hemHw,{6}
-ddVcTFS87A,GLw3TPRtegg,{6}
-ddVcTFS87A,S5FaiokJEss,{6}
-ddVcTFS87A,R6YVjlO18aE,{6}
-ddVcTFS87A,4SfMNKdg7LQ,{6}
GLw3TPRtegg,axtgFRvTEwM,{6}
GLw3TPRtegg,BjbxchUxQNI,{6}
GLw3TPRtegg,nQIplI1FocU,{6}
GLw3TPRtegg,ofOqUMeEwu8,{6}
axtgFRvTEwM,EskpU46thdg,{6}
axtgFRvTEwM,ofOqUMeEwu8,{6}
axtgFRvTEwM,Bz4eYfZ3t3k,{6}
BjbxchUxQNI,2tTOJvw6EQA,{6}
BjbxchUxQNI,wdQPlzpU0QQ,{6}
BjbxchUxQNI,PmxrBUo3wa0,{6}
BjbxchUxQNI,QZGlhkeehZ4,{6}
BjbxchUxQNI,hVsZZp3wccM,{6}
S5FaiokJEss,TTSEDCpMI90,{6}
S5FaiokJEss,ZlraBkzeit4,{6}
S5FaiokJEss,-ddVcTFS87A,{6}
TTSEDCpMI90,ZlraBkzeit4,{6}
TTSEDCpMI90,GLw3TPRtegg,{6}
TTSEDCpMI90,axtgFRvTEwM,{6}
4SfMNKdg7LQ,aJahV6QJA0g,{6}
4SfMNKdg7LQ,afGQjR64hXk,{6}
4SfMNKdg7LQ,KZbC8IVWFNM,{6}
aJahV6QJA0g,XDf5TJ5tWzM,{6}
aJahV6QJA0g,QcD0wbHstBg,{6}
aJahV6QJA0g,-PncKvCPw_A,{6}
afGQjR64hXk,LO1tbwiNRew,{6}
afGQjR64hXk,mU_ejCWE8Fk,{6}
afGQjR64hXk,HuO8sekboHs,{6}
iXzLvgnf9g4,QrXm2U8dfOo,{6}
iXzLvgnf9g4,s1VkPy8y7gw,{6}
iXzLvgnf9g4,SatDmzzuYqU,{6}
-EM_KrOux_o,z1omWTgwtuQ,{6}
-EM_KrOux_o,QrXm2U8dfOo,{6}
-EM_KrOux_o,Hygf6duz30M,{6}
13krcSnemwE,w7llG46Iwoo,{6}
13krcSnemwE,TxfcHGQE6xI,{6}
13krcSnemwE,ubEIIzMqGBc,{6}
w7llG46Iwoo,GLw3TPRtegg,{6}
w7llG46Iwoo,J4YvI-03X80,{6}
w7llG46Iwoo,mEdpUD6tXF8,{6}
iZTDQMlndkw,FPSqO_KKhaE,{6}
iZTDQMlndkw,Lnlz6WGQ7Ec,{6}
iZTDQMlndkw,DO6q7XJWK0g,{6}
iZTDQMlndkw,gfkfu5bWIlc,{6}
iZTDQMlndkw,QrXm2U8dfOo,{6}
mEdpUD6tXF8,9X-8EpdkVA0,{6}
mEdpUD6tXF8,J4YvI-03X80,{6}
mEdpUD6tXF8,azPzOXB4KOQ,{6}
9X-8EpdkVA0,S5FaiokJEss,{6}
9X-8EpdkVA0,gfkfu5bWIlc,{6}
9X-8EpdkVA0,q061lYyzAJY,{6}
gfkfu5bWIlc,Lnlz6WGQ7Ec,{6}
gfkfu5bWIlc,QZGlhkeehZ4,{6}
gfkfu5bWIlc,E3te2FP6AWg,{6}
azPzOXB4KOQ,KZbC8IVWFNM,{6}
azPzOXB4KOQ,n7o75HsNDOE,{6}
azPzOXB4KOQ,Hygf6duz30M,{6}
dsr2kSIhxl8,LnGWlSm2PJY,{6}
dsr2kSIhxl8,olxSicssK6g,{6}
dsr2kSIhxl8,fxuQ3w5TpRQ,{6}
ubEIIzMqGBc,-LGLBZxEd_A,{6}
ubEIIzMqGBc,2tTOJvw6EQA,{6}
ubEIIzMqGBc,iZTDQMlndkw,{6}
4xesOjHPz2Q,uQAJkzAJcZ8,{6}
4xesOjHPz2Q,uZqBXKsEA7M,{6}
4xesOjHPz2Q,7_oFZaFZMuY,{6}
35YHvoNXxAA,UwMlgKUQaQ4,{6}
35YHvoNXxAA,VTTBgRneeWE,{6}
35YHvoNXxAA,C2XASSGxgWI,{6}
NoRFaiqiQGo,q4zZ2ker1iI,{5}
NoRFaiqiQGo,OKjmktBYTQg,{5}
NoRFaiqiQGo,qsHJ3LvUWTs,{5}
NoRFaiqiQGo,v8v7ueICWuU,{5}
NoRFaiqiQGo,Qqc0t8ghvis,{5}
NoRFaiqiQGo,U4NijLf3M-A,{5}
NoRFaiqiQGo,e2g-OW-NZcY,{5}
NoRFaiqiQGo,fFFSKedy9f4,{5}
NoRFaiqiQGo,AscPHmLWo-M,{5}
v8v7ueICWuU,zTtzGhYd0Po,{5}
v8v7ueICWuU,roWxo6jWoYw,{5}
v8v7ueICWuU,fFFSKedy9f4,{5}
v8v7ueICWuU,04x4ZdLpN-0,{5}
v8v7ueICWuU,yZYQpge1W5s,{5}
v8v7ueICWuU,aLxZF_EWaLE,{5}
v8v7ueICWuU,t2RX9GqnIxo,{5}
v8v7ueICWuU,iLAU6gIW9Ew,{5}
v8v7ueICWuU,z3cjksFFKAQ,{5}
v8v7ueICWuU,3u5cMqItvCc,{5}
zTtzGhYd0Po,TXnHT1aRD7k,{5}
zTtzGhYd0Po,JPPlicAEFec,{5}
zTtzGhYd0Po,6_ROT0AitHk,{5}
TXnHT1aRD7k,LwAuSDQX_OY,{5}
TXnHT1aRD7k,khLlpu-qJuM,{5}
TXnHT1aRD7k,L-A027BFV7k,{5}
LwAuSDQX_OY,eGsZMYiF20g,{5}
LwAuSDQX_OY,y0PYlLQn_YM,{5}
LwAuSDQX_OY,H9B5mYfBPlY,{5}
khLlpu-qJuM,y6Ea-Di9DsI,{5}
khLlpu-qJuM,zTtzGhYd0Po,{5}
khLlpu-qJuM,xMiug2sZ4Io,{5}
L-A027BFV7k,lYG7E0xTgY8,{5}
L-A027BFV7k,OKjmktBYTQg,{5}
L-A027BFV7k,cTsJTRUaMZ0,{5}
OKjmktBYTQg,aM-G3OE-8Xg,{5}
OKjmktBYTQg,7pV3nI5sq-8,{5}
OKjmktBYTQg,bSAgHvETNSg,{5}
JPPlicAEFec,GluEVaV49Zs,{5}
JPPlicAEFec,rCYXM1Z0QVo,{5}
JPPlicAEFec,azROJC2YJ4g,{5}
GluEVaV49Zs,BH4qD5Fzyjk,{5}
GluEVaV49Zs,xMiug2sZ4Io,{5}
GluEVaV49Zs,kL61yQgdWeM,{5}
rCYXM1Z0QVo,C-nALYF73hU,{5}
rCYXM1Z0QVo,8pl8Rai0OWM,{5}
rCYXM1Z0QVo,TM6WKeZ43s4,{5}
azROJC2YJ4g,dIM7E8e9JKY,{5}
azROJC2YJ4g,hcPUoxTvw5g,{5}
azROJC2YJ4g,BvWB7B8tXK8,{5}
6_ROT0AitHk,NdVBOT2FFNI,{5}
6_ROT0AitHk,xt1f6XN0XcE,{5}
6_ROT0AitHk,F0Jm4ZqHMsY,{5}
NdVBOT2FFNI,b_iA6nSumVw,{5}
NdVBOT2FFNI,cYGUngD-fPk,{5}
NdVBOT2FFNI,rPzRDeRsB5o,{5}
xt1f6XN0XcE,HWS0cGSgCvw,{5}
xt1f6XN0XcE,FnUBDQgH7fE,{5}
xt1f6XN0XcE,nI0Vc-xMZow,{5}
F0Jm4ZqHMsY,n2kJP3hbGC8,{5}
F0Jm4ZqHMsY,BeqDYrqpitY,{5}
